Date,Item,Quantity,Customer
7/15/2021,1001208664,10,Customer 1
7/20/2021,8814544,3,Customer 3
7/15/2021,1001176490J,3,Customer 1
7/15/2021,1001177654J,6,Customer 1
7/15/2021,1001176490J,1,Customer 1
7/15/2021,1001176492J,4,Customer 1
7/20/2021,8814544,4,Customer 3
7/15/2021,1220094P032,2,Customer 1
7/20/2021,8808762,9,Customer 3
7/15/2021,1220094,2,Customer 1
7/20/2021,8808762,9,Customer 3
7/15/2021,1220094,1,Customer 1
7/15/2021,1001092950,3,Customer 1
7/15/2021,1001092950,2,Customer 1
7/15/2021,1001223189P002,1,Customer 1
7/15/2021,1220081P210,1,Customer 1
7/15/2021,1220081P032,1,Customer 1
7/15/2021,1001187810P032,6,Customer 1
7/15/2021,1001080861,6,Customer 1
7/15/2021,1001080861,6,Customer 1
7/15/2021,1001080861,6,Customer 1
7/16/2021,1220025,8,Customer 1
7/20/2021,9371173900,2,Customer 6
7/20/2021,9381183300,1,Customer 6
7/19/2021,9371173500,3,Customer 6
7/19/2021,9381183300,1,Customer 6
7/16/2021,1220025,7,Customer 1
7/16/2021,1001177653C,2,Customer 1
7/16/2021,1001213323J,1,Customer 1
7/16/2021,1001213324J,1,Customer 1
7/16/2021,1001177655C,1,Customer 1
7/16/2021,1001213322,2,Customer 1
7/16/2021,1001246922,4,Customer 1
7/16/2021,1001213322,2,Customer 1
7/16/2021,1001246922,4,Customer 1
7/16/2021,1001176490J,5,Customer 1
7/16/2021,1001176490J,3,Customer 1
7/16/2021,1001177654J,6,Customer 1
7/16/2021,1001094787,2,Customer 1
7/16/2021,1001208663,5,Customer 1
7/16/2021,1001094787,2,Customer 1
7/16/2021,1001208662,1,Customer 1
7/16/2021,1001208664,1,Customer 1
7/16/2021,1001208664,5,Customer 1
7/16/2021,1220094,4,Customer 1
7/16/2021,1220094,1,Customer 1
7/16/2021,1220081,2,Customer 1
7/16/2021,1220081,2,Customer 1
7/16/2021,1001163064,2,Customer 1
7/16/2021,1001187809,2,Customer 1
7/16/2021,1001174679,2,Customer 1
7/16/2021,1220029,4,Customer 1
7/16/2021,1001163064,6,Customer 1
7/19/2021,1220094,2,Customer 1
7/19/2021,1220094,3,Customer 1
7/19/2021,1001092950,2,Customer 1
7/19/2021,1001187810 Old Rev G,2,Customer 1
7/19/2021,1001187810 Old Rev G,1,Customer 1
7/19/2021,1001187810 Old Rev G,3,Customer 1
7/19/2021,1001163064P032,4,Customer 1
7/19/2021,1220081,3,Customer 1
7/19/2021,1001117893P032,1,Customer 1
7/19/2021,1001163064,8,Customer 1
7/19/2021,1001208664,11,Customer 1
7/19/2021,1001208664,5,Customer 1
7/19/2021,1001266705,9,Customer 1
7/19/2021,1220108,1,Customer 1
7/19/2021,1001266705,4,Customer 1
7/19/2021,1220099P032,1,Customer 1
7/19/2021,1001246922,4,Customer 1
7/19/2021,1001094787,1,Customer 1
7/19/2021,1001094787P032,2,Customer 1
7/19/2021,1001094787P032,1,Customer 1
7/19/2021,1001208664,7,Customer 1
7/19/2021,1001208664,5,Customer 1
7/19/2021,1001266707,5,Customer 1
7/19/2021,1220099P032,1,Customer 1
7/22/2021,8814544,5,Customer 3
7/22/2021,8814544,4,Customer 3
7/22/2021,8814544,2,Customer 3
7/22/2021,8814544,3,Customer 3
7/22/2021,8814544,3,Customer 3
7/22/2021,8808765,5,Customer 3
7/22/2021,8814544,4,Customer 3
7/22/2021,8542671,2,Customer 3
7/23/2021,8810132,1,Customer 3
7/23/2021,8542672,1,Customer 3
7/23/2021,8542672,1,Customer 3
7/23/2021,8808763,3,Customer 3
7/23/2021,8814544,3,Customer 3
7/23/2021,8542671,3,Customer 3
7/23/2021,8808765,5,Customer 3
7/23/2021,8817150,14,Customer 3
7/23/2021,8817151,10,Customer 3
7/23/2021,8808764,6,Customer 3
7/23/2021,8808762,9,Customer 3
7/23/2021,8810132,4,Customer 3
